work_year,ExperienceLevel,EmploymentType,JobTitle,Salary,SalaryCurrency,SalaryInUsd,EmployeeResidence,RemoteRatio,CompanyLocation,CompanySize
2022,MI,FT,68,1650000,INR,20984,IN,50,IN,L
2023,EN,FT,9,204620,USD,204620,US,0,US,L
2023,EN,FT,9,110680,USD,110680,US,0,US,L
2023,SE,FT,34,270703,USD,270703,US,0,US,M
2023,SE,FT,34,221484,USD,221484,US,0,US,M
2023,SE,FT,48,212750,USD,212750,US,100,US,M
2023,SE,FT,48,185000,USD,185000,US,100,US,M
2023,SE,FT,48,262000,USD,262000,US,100,US,M
2023,SE,FT,48,245000,USD,245000,US,100,US,M
2023,SE,FT,48,275300,USD,275300,US,100,US,M
2023,SE,FT,48,183500,USD,183500,US,100,US,M
2023,SE,FT,48,218500,USD,218500,US,100,US,M
2023,SE,FT,48,199098,USD,199098,US,100,US,M
2023,SE,FT,34,203300,USD,203300,US,100,US,M
2023,SE,FT,34,123600,USD,123600,US,100,US,M
2023,SE,FT,89,189110,USD,189110,US,0,US,M
2023,SE,FT,89,139000,USD,139000,US,0,US,M
2023,EX,FT,48,258750,USD,258750,US,0,US,M
2023,EX,FT,48,185000,USD,185000,US,0,US,M
2023,SE,FT,34,231500,USD,231500,US,100,US,M
2023,SE,FT,34,166000,USD,166000,US,100,US,M
2023,SE,FT,48,172500,USD,172500,US,100,US,M
2023,SE,FT,48,110500,USD,110500,US,100,US,M
2023,SE,FT,34,238000,USD,238000,US,0,US,M
2023,SE,FT,34,176000,USD,176000,US,0,US,M
2023,SE,FT,34,237000,USD,237000,US,100,US,M
2023,SE,FT,34,201450,USD,201450,US,100,US,M
2023,SE,FT,9,309400,USD,309400,US,0,US,L
2023,SE,FT,9,159100,USD,159100,US,0,US,L
2023,SE,FT,34,115000,USD,115000,US,0,US,M
2023,SE,FT,34,81500,USD,81500,US,0,US,M
2023,SE,FT,48,237000,USD,237000,US,100,US,M
2023,SE,FT,48,201450,USD,201450,US,100,US,M
2023,SE,FT,24,280000,USD,280000,US,0,US,M
2023,SE,FT,24,210000,USD,210000,US,0,US,M
2023,SE,FT,32,280100,USD,280100,US,100,US,M
2023,SE,FT,32,168100,USD,168100,US,100,US,M
2023,SE,FT,34,193500,USD,193500,US,100,US,M
2023,SE,FT,34,139000,USD,139000,US,100,US,M
2023,MI,FT,48,510000,HKD,65062,HK,0,HK,L
2023,SE,FT,68,150000,USD,150000,PT,100,US,M
2023,MI,FT,7,65000,EUR,69751,IN,100,DE,S
2022,EN,FT,2,300000,USD,300000,IN,50,IN,L
2023,MI,FT,68,90000,EUR,96578,NL,100,NL,L
2023,SE,FT,19,185900,USD,185900,US,0,US,M
2023,SE,FT,19,129300,USD,129300,US,0,US,M
2023,SE,FT,34,225000,USD,225000,US,100,US,M
2023,SE,FT,34,175000,USD,175000,US,100,US,M
2023,SE,FT,34,185000,USD,185000,US,0,US,M
2023,SE,FT,34,140000,USD,140000,US,0,US,M
2023,SE,FT,48,45000,EUR,48289,ES,0,ES,M
2023,SE,FT,48,36000,EUR,38631,ES,0,ES,M
2023,SE,FT,48,105000,USD,105000,US,0,US,M
2023,SE,FT,48,70000,USD,70000,US,0,US,M
2023,EN,FT,68,163196,USD,163196,US,0,US,M
2023,EN,FT,68,145885,USD,145885,US,0,US,M
2023,SE,FT,34,217000,USD,217000,US,100,US,M
2023,SE,FT,34,185000,USD,185000,US,100,US,M
2023,SE,FT,26,202800,USD,202800,US,0,US,L
2023,SE,FT,26,104300,USD,104300,US,0,US,L
2023,SE,FT,26,145000,USD,145000,US,0,US,M
2023,SE,FT,26,65000,USD,65000,US,0,US,M
2023,SE,FT,34,165000,USD,165000,US,0,US,M
2023,SE,FT,34,132300,USD,132300,US,0,US,M
2023,SE,FT,34,179170,USD,179170,US,0,US,M
2023,SE,FT,34,94300,USD,94300,US,0,US,M
2023,SE,FT,5,152500,USD,152500,US,0,US,M
2023,SE,FT,5,116450,USD,116450,US,0,US,M
2023,SE,FT,34,247300,USD,247300,US,0,US,M
2023,SE,FT,34,133800,USD,133800,US,0,US,M
2023,SE,FT,89,203000,USD,203000,US,0,US,M
2023,SE,FT,89,133000,USD,133000,US,0,US,M
2023,EN,FT,90,220000,USD,220000,US,50,US,L
2022,EN,FT,68,54000,CHF,56536,CH,100,CH,S
2023,SE,FT,48,150000,USD,150000,US,0,US,M
2023,SE,FT,48,120000,USD,120000,US,0,US,M
2023,SE,FT,5,289800,USD,289800,US,0,US,M
2023,SE,FT,5,214000,USD,214000,US,0,US,M
2023,SE,FT,5,179820,USD,179820,US,0,US,M
2023,SE,FT,5,143860,USD,143860,US,0,US,M
2023,SE,FT,68,283200,USD,283200,US,100,US,M
2023,SE,FT,68,188800,USD,188800,US,100,US,M
2023,SE,FT,5,289800,USD,289800,US,0,US,M
2023,SE,FT,5,214200,USD,214200,US,0,US,M
2023,SE,FT,34,185900,USD,185900,US,0,US,M
2023,SE,FT,34,129300,USD,129300,US,0,US,M
2023,SE,FT,34,252000,USD,252000,US,0,US,M
2023,SE,FT,34,129000,USD,129000,US,0,US,M
2023,MI,FT,30,155000,USD,155000,US,0,US,M
2023,MI,FT,30,140000,USD,140000,US,0,US,M
2023,SE,FT,34,161800,USD,161800,US,100,US,M
2023,SE,FT,34,141600,USD,141600,US,100,US,M
2023,SE,FT,68,342300,USD,342300,US,0,US,L
2023,SE,FT,68,176100,USD,176100,US,0,US,L
2023,MI,FT,34,100000,USD,100000,US,100,US,M
2023,MI,FT,34,70000,USD,70000,US,100,US,M
2023,EN,FT,34,85000,USD,85000,US,0,US,M
2023,EN,FT,34,65000,USD,65000,US,0,US,M
2023,SE,FT,48,138784,USD,138784,US,100,US,M
2023,SE,FT,48,83270,USD,83270,US,100,US,M
2023,EN,FT,26,75000,USD,75000,US,0,US,M
2023,EN,FT,26,70000,USD,70000,US,0,US,M
2023,SE,FT,26,204500,USD,204500,US,0,US,M
2023,SE,FT,26,138900,USD,138900,US,0,US,M
2023,SE,FT,68,318300,USD,318300,US,100,US,M
2023,SE,FT,68,212200,USD,212200,US,100,US,M
2023,SE,FT,34,95000,USD,95000,US,100,US,M
2023,SE,FT,34,75000,USD,75000,US,100,US,M
2023,SE,FT,48,195000,USD,195000,US,0,US,M
2023,SE,FT,48,160000,USD,160000,US,0,US,M
2023,SE,FT,5,230000,USD,230000,US,0,US,M
2023,SE,FT,5,143200,USD,143200,US,0,US,M
2023,MI,FT,34,100000,USD,100000,US,100,US,M
2023,MI,FT,34,70000,USD,70000,US,100,US,M
2023,MI,FT,18,105000,USD,105000,US,50,US,L
2023,MI,FT,6,1700000,INR,20670,IN,100,IN,L
2023,MI,FT,26,38000,GBP,46178,GB,0,GB,M
2023,MI,FT,26,35000,GBP,42533,GB,0,GB,M
2023,SE,FT,34,145000,USD,145000,US,0,US,M
2023,SE,FT,34,115000,USD,115000,US,0,US,M
2023,SE,FT,26,168400,USD,168400,US,0,US,M
2023,SE,FT,26,105200,USD,105200,US,0,US,M
2023,SE,FT,9,309400,USD,309400,US,0,US,L
2023,SE,FT,9,159100,USD,159100,US,0,US,L
2023,SE,FT,68,190000,USD,190000,US,0,US,M
2023,SE,FT,68,150000,USD,150000,US,0,US,M
2023,MI,FT,34,162500,USD,162500,US,0,US,M
2023,MI,FT,34,130000,USD,130000,US,0,US,M
2023,SE,FT,5,150000,USD,150000,US,100,US,M
2023,SE,FT,5,120000,USD,120000,US,100,US,M
2023,SE,FT,34,145000,USD,145000,US,0,US,M
2023,SE,FT,34,120000,USD,120000,US,0,US,M
2023,SE,FT,9,222200,USD,222200,US,0,US,L
2023,SE,FT,9,136000,USD,136000,US,0,US,L
2023,SE,FT,26,45000,GBP,54685,CF,100,CF,M
2023,SE,FT,26,35000,GBP,42533,CF,100,CF,M
2023,SE,FT,34,241000,USD,241000,US,0,US,M
2023,SE,FT,34,155000,USD,155000,US,0,US,M
2023,SE,FT,34,220000,USD,220000,US,100,US,M
2023,SE,FT,34,190000,USD,190000,US,100,US,M
2023,MI,FT,48,55000,GBP,66837,GB,0,GB,M
2023,MI,FT,48,45000,GBP,54685,GB,0,GB,M
2020,EX,FT,92,15000,USD,15000,NG,0,CA,M
2023,MI,FT,56,70000,GBP,85066,GB,100,GB,M
2023,MI,FT,56,47500,GBP,57723,GB,100,GB,M
2023,EN,FT,26,85000,USD,85000,US,100,US,M
2023,EN,FT,26,75000,USD,75000,US,100,US,M
2023,SE,FT,34,160000,USD,160000,US,0,US,M
2023,SE,FT,34,140000,USD,140000,US,0,US,M
2023,MI,FT,68,300000,USD,300000,US,0,US,M
2023,MI,FT,68,250000,USD,250000,US,0,US,M
2023,SE,FT,48,228000,USD,228000,US,0,US,M
2023,SE,FT,48,186000,USD,186000,US,0,US,M
2023,SE,FT,48,190000,USD,190000,US,0,US,M
2023,SE,FT,48,170000,USD,170000,US,0,US,M
2023,MI,FT,89,230000,USD,230000,US,0,US,M
2023,MI,FT,89,200000,USD,200000,US,0,US,M
2023,SE,FT,32,180000,USD,180000,US,100,US,M
2023,SE,FT,32,115000,USD,115000,US,100,US,M
2023,SE,FT,32,200000,USD,200000,US,100,US,M
2023,SE,FT,32,115000,USD,115000,US,100,US,M
2023,SE,FT,33,50000,EUR,53654,FR,50,FR,S
2023,EX,FT,34,220000,USD,220000,US,0,US,M
2023,EX,FT,34,205000,USD,205000,US,0,US,M
2023,MI,FT,34,180000,USD,180000,US,0,US,M
2023,MI,FT,34,130000,USD,130000,US,0,US,M
2023,SE,FT,34,200000,USD,200000,US,100,US,M
2023,SE,FT,34,150000,USD,150000,US,100,US,M
2023,SE,FT,24,215000,USD,215000,US,0,US,M
2023,SE,FT,24,170000,USD,170000,US,0,US,M
2023,SE,FT,68,247500,USD,247500,US,0,US,M
2023,SE,FT,68,172200,USD,172200,US,0,US,M
2023,SE,FT,48,224000,USD,224000,CA,0,CA,M
2023,SE,FT,48,176000,USD,176000,CA,0,CA,M
2023,SE,FT,26,120000,USD,120000,US,100,US,M
2023,SE,FT,26,75000,USD,75000,US,100,US,M
2023,EN,FT,34,1400000,INR,17022,IN,100,IN,L
2023,SE,FT,6,100000,AUD,68318,AU,100,FI,M
2023,MI,FT,2,100000,SGD,75020,FI,0,FI,M
2023,SE,FT,26,140000,USD,140000,US,0,US,M
2023,SE,FT,26,120000,USD,120000,US,0,US,M
2023,SE,FT,34,128000,USD,128000,US,0,US,M
2023,SE,FT,34,81500,USD,81500,US,0,US,M
2023,SE,FT,34,145000,USD,145000,US,0,US,M
2023,SE,FT,34,115000,USD,115000,US,0,US,M
2023,SE,FT,34,185000,USD,185000,US,0,US,M
2023,SE,FT,34,140000,USD,140000,US,0,US,M
2023,EX,FT,59,329500,USD,329500,US,0,US,M
2023,EX,FT,59,269600,USD,269600,US,0,US,M
2023,SE,FT,42,100000,USD,100000,US,0,US,M
2023,SE,FT,42,80000,USD,80000,US,0,US,M
2023,SE,FT,48,250000,USD,250000,US,0,US,M
2023,SE,FT,48,162500,USD,162500,US,0,US,M
2023,MI,FT,2,200000,USD,200000,US,100,US,M
2023,SE,FT,34,145000,USD,145000,US,0,US,M
2023,SE,FT,34,100000,USD,100000,US,0,US,M
2023,EX,FT,34,145000,USD,145000,US,0,US,M
2023,EX,FT,34,115000,USD,115000,US,0,US,M
2023,SE,FT,48,203500,USD,203500,US,0,US,M
2023,SE,FT,48,152000,USD,152000,US,0,US,M
2023,SE,FT,48,239000,USD,239000,US,0,US,L
2023,SE,FT,48,122900,USD,122900,US,0,US,L
2023,SE,FT,48,237000,USD,237000,US,0,US,M
2023,SE,FT,48,145000,USD,145000,US,0,US,M
2023,SE,FT,46,191765,USD,191765,US,0,US,M
2023,SE,FT,46,134236,USD,134236,US,0,US,M
2023,SE,FT,5,190000,USD,190000,US,100,US,M
2023,SE,FT,5,112000,USD,112000,US,100,US,M
2022,SE,FT,48,84000,EUR,88256,ES,100,GB,L
2023,EN,FT,34,85000,USD,85000,US,0,US,M
2023,EN,FT,34,65000,USD,65000,US,0,US,M
2023,SE,FT,26,135000,USD,135000,US,0,US,M
2023,SE,FT,26,105500,USD,105500,US,0,US,M
2023,SE,FT,89,293000,USD,293000,US,0,US,M
2023,SE,FT,89,185000,USD,185000,US,0,US,M
2023,SE,FT,26,80000,USD,80000,US,0,US,M
2023,SE,FT,26,70000,USD,70000,US,0,US,M
2023,SE,FT,34,220000,USD,220000,US,100,US,M
2023,SE,FT,34,160000,USD,160000,US,100,US,M
2023,SE,FT,48,175000,USD,175000,US,100,US,M
2023,SE,FT,48,145000,USD,145000,US,100,US,M
2023,SE,FT,26,200000,USD,200000,US,0,US,M
2023,SE,FT,26,148500,USD,148500,US,0,US,M
2023,SE,FT,48,45000,EUR,48289,ES,0,ES,M
2023,SE,FT,48,36000,EUR,38631,ES,0,ES,M
2023,SE,FT,34,240500,USD,240500,US,0,US,L
2023,SE,FT,34,123700,USD,123700,US,0,US,L
2023,SE,FT,5,152900,USD,152900,US,100,US,M
2023,SE,FT,5,117100,USD,117100,US,100,US,M
2023,SE,FT,5,173000,USD,173000,US,100,US,M
2023,SE,FT,5,113000,USD,113000,US,100,US,M
2023,SE,FT,9,260000,USD,260000,US,0,US,L
2023,SE,FT,9,136000,USD,136000,US,0,US,L
2023,EX,FT,34,175000,USD,175000,US,0,US,M
2023,EX,FT,34,110000,USD,110000,US,0,US,M
2023,SE,FT,9,260000,USD,260000,US,0,US,L
2023,SE,FT,9,136000,USD,136000,US,0,US,L
2023,SE,FT,90,130000,USD,130000,US,100,US,M
2023,SE,FT,90,110000,USD,110000,US,100,US,M
2023,SE,FT,9,205000,USD,205000,US,100,US,M
2023,SE,FT,9,184000,USD,184000,US,100,US,M
2023,SE,FT,26,149500,USD,149500,US,100,US,M
2023,SE,FT,26,127075,USD,127075,US,100,US,M
2023,SE,FT,48,195000,USD,195000,US,0,US,M
2023,SE,FT,48,160000,USD,160000,US,0,US,M
2023,SE,FT,34,219535,USD,219535,US,100,US,M
2023,SE,FT,34,146115,USD,146115,US,100,US,M
2023,SE,FT,48,170000,USD,170000,US,0,US,M
2023,SE,FT,48,135000,USD,135000,US,0,US,M
2023,SE,FT,48,175000,USD,175000,US,100,US,M
2023,SE,FT,48,145000,USD,145000,US,100,US,M
2023,SE,FT,48,199000,USD,199000,US,0,US,M
2023,SE,FT,48,162000,USD,162000,US,0,US,M
2023,SE,FT,9,222200,USD,222200,US,0,US,L
2023,SE,FT,9,136000,USD,136000,US,0,US,L
2023,EX,FT,5,221000,USD,221000,US,100,US,M
2023,EX,FT,5,153000,USD,153000,US,100,US,M
2023,SE,FT,26,187000,USD,187000,US,0,US,M
2023,SE,FT,26,128000,USD,128000,US,0,US,M
2023,SE,FT,90,210000,USD,210000,US,0,US,M
2023,SE,FT,90,136000,USD,136000,US,0,US,M
2023,SE,FT,48,175000,USD,175000,US,100,US,M
2023,SE,FT,48,100000,USD,100000,US,100,US,M
2023,SE,FT,34,179000,USD,179000,US,0,US,M
2023,SE,FT,34,109000,USD,109000,US,0,US,M
2023,SE,FT,48,245000,USD,245000,US,0,US,M
2023,SE,FT,48,180000,USD,180000,US,0,US,M
2023,SE,FT,26,142000,USD,142000,US,100,US,M
2023,SE,FT,26,75000,USD,75000,US,100,US,M
2023,SE,FT,38,198800,USD,198800,US,0,US,M
2023,SE,FT,38,105200,USD,105200,US,0,US,M
2023,SE,FT,26,125000,USD,125000,US,100,US,M
2023,SE,FT,26,112000,USD,112000,US,100,US,M
2023,SE,FT,48,210000,USD,210000,US,0,US,M
2023,SE,FT,48,155000,USD,155000,US,0,US,M
2023,SE,FT,38,115000,USD,115000,US,100,US,M
2023,SE,FT,38,86000,USD,86000,US,100,US,M
2023,SE,FT,48,165000,USD,165000,US,0,US,M
2023,SE,FT,48,140000,USD,140000,US,0,US,M
2023,SE,FT,26,139000,USD,139000,US,0,US,M
2023,SE,FT,26,106000,USD,106000,US,0,US,M
2023,EN,FT,26,55000,CAD,40663,CA,0,CA,L
2022,SE,FT,2,275000,USD,275000,CA,0,CA,S
2023,SE,FL,72,50000,USD,50000,UA,50,UA,S
2023,MI,FT,68,280700,USD,280700,US,100,US,M
2023,MI,FT,68,150450,USD,150450,US,100,US,M
2023,EN,FT,48,70000,CAD,51753,CA,100,CA,L
2023,SE,FT,32,250500,USD,250500,US,0,US,M
2023,SE,FT,32,159500,USD,159500,US,0,US,M
2023,SE,FT,34,145000,USD,145000,US,0,US,M
2023,SE,FT,34,115000,USD,115000,US,0,US,M
2023,SE,FT,26,140000,USD,140000,US,0,US,M
2023,SE,FT,26,120000,USD,120000,US,0,US,M
2023,EN,FT,48,130001,USD,130001,US,100,US,M
2023,EN,FT,48,71907,USD,71907,US,100,US,M
2023,MI,FT,48,93918,USD,93918,US,100,US,M
2023,MI,FT,48,51962,USD,51962,US,100,US,M
2023,SE,FT,26,175000,USD,175000,CA,100,CA,M
2023,SE,FT,26,135000,USD,135000,CA,100,CA,M
2023,EN,FT,34,85000,USD,85000,US,0,US,M
2023,EN,FT,34,65000,USD,65000,US,0,US,M
2023,SE,FT,68,257000,USD,257000,US,0,US,M
2023,SE,FT,68,147000,USD,147000,US,0,US,M
2023,SE,FT,34,222000,USD,222000,US,100,US,M
2023,SE,FT,34,175000,USD,175000,US,100,US,M
2023,SE,FT,48,203000,USD,203000,US,100,US,M
2023,SE,FT,48,133200,USD,133200,US,100,US,M
2023,EN,FT,9,213660,USD,213660,US,0,US,L
2023,EN,FT,9,130760,USD,130760,US,0,US,L
2023,SE,FT,34,221000,USD,221000,US,0,US,M
2023,SE,FT,34,147000,USD,147000,US,0,US,M
2023,SE,FT,42,100000,USD,100000,US,0,US,M
2023,SE,FT,42,80000,USD,80000,US,0,US,M
2023,SE,FT,48,185900,USD,185900,US,0,US,M
2023,SE,FT,48,129300,USD,129300,US,0,US,M
2023,SE,FT,48,238000,USD,238000,US,100,US,M
2023,SE,FT,48,156000,USD,156000,US,100,US,M
2023,SE,FT,68,304000,USD,304000,US,100,US,M
2023,SE,FT,68,199000,USD,199000,US,100,US,M
2023,MI,FT,17,45000,EUR,48289,ES,100,ES,M
2023,SE,FT,34,150000,USD,150000,US,0,US,M
2023,SE,FT,34,130000,USD,130000,US,0,US,M
2023,SE,FT,48,140000,USD,140000,US,100,US,M
2023,SE,FT,48,110000,USD,110000,US,100,US,M
2023,MI,FT,26,90000,USD,90000,US,0,US,M
2023,MI,FT,26,75000,USD,75000,US,0,US,M
2023,MI,FT,90,161200,GBP,195895,GB,0,GB,M
2023,MI,FT,90,84570,GBP,102772,GB,0,GB,M
2023,SE,FT,34,240000,USD,240000,US,0,US,M
2023,SE,FT,34,183600,USD,183600,US,0,US,M
2023,MI,FT,50,130000,USD,130000,US,0,US,M
2023,MI,FT,50,80000,USD,80000,US,0,US,M
2023,SE,FT,34,250000,USD,250000,US,0,US,M
2023,SE,FT,34,150000,USD,150000,US,0,US,M
2023,SE,FT,30,160000,USD,160000,US,100,US,M
2023,SE,FT,30,120000,USD,120000,US,100,US,M
2023,SE,FT,68,289076,USD,289076,US,0,US,M
2023,SE,FT,68,202353,USD,202353,US,0,US,M
2023,SE,FT,34,145000,USD,145000,US,0,US,M
2023,SE,FT,34,120000,USD,120000,US,0,US,M
2023,SE,FT,26,155000,USD,155000,US,0,US,M
2023,SE,FT,26,106000,USD,106000,US,0,US,M
2023,SE,FT,34,200000,USD,200000,US,0,US,M
2023,SE,FT,34,160000,USD,160000,US,0,US,M
2023,SE,FT,48,157750,USD,157750,US,100,US,M
2023,SE,FT,48,104650,USD,104650,US,100,US,M
2023,MI,FT,48,180000,USD,180000,US,100,US,M
2023,MI,FT,48,140000,USD,140000,US,100,US,M
2023,EX,FT,48,200000,USD,200000,US,0,US,M
2023,EX,FT,48,145000,USD,145000,US,0,US,M
2023,MI,FT,63,68000,USD,68000,US,0,US,L
2023,EN,FT,14,60000,USD,60000,US,100,US,M
2023,SE,FT,48,45000,EUR,48289,ES,0,ES,M
2023,SE,FT,48,36000,EUR,38631,ES,0,ES,M
2023,EN,FT,34,85000,USD,85000,US,0,US,M
2023,EN,FT,34,65000,USD,65000,US,0,US,M
2023,MI,FT,34,125000,USD,125000,US,0,US,M
2023,MI,FT,34,90000,USD,90000,US,0,US,M
2023,SE,FT,26,105000,USD,105000,US,100,US,M
2023,SE,FT,26,90000,USD,90000,US,100,US,M
2023,SE,FT,5,179820,USD,179820,US,0,US,M
2023,SE,FT,5,143860,USD,143860,US,0,US,M
2023,SE,FT,26,135000,USD,135000,US,0,US,M
2023,SE,FT,26,105500,USD,105500,US,0,US,M
2023,EN,FT,89,155000,USD,155000,US,0,US,M
2023,EN,FT,89,125000,USD,125000,US,0,US,M
2023,SE,FT,68,241000,USD,241000,US,0,US,M
2023,SE,FT,68,181000,USD,181000,US,0,US,M
2023,SE,FT,48,252000,USD,252000,US,0,US,M
2023,SE,FT,48,154000,USD,154000,US,0,US,M
2023,EX,FT,32,180000,USD,180000,US,0,US,M
2023,EX,FT,32,155000,USD,155000,US,0,US,M
2023,SE,FT,48,191765,USD,191765,US,0,US,M
2023,SE,FT,48,134236,USD,134236,US,0,US,M
2023,SE,FT,48,175000,USD,175000,US,100,US,M
2023,SE,FT,48,145000,USD,145000,US,100,US,M
2023,SE,FT,48,237000,USD,237000,US,100,US,M
2023,SE,FT,48,145000,USD,145000,US,100,US,M
2023,EN,FT,89,155000,USD,155000,US,0,US,M
2023,EN,FT,89,125000,USD,125000,US,0,US,M
2023,SE,FT,26,80000,USD,80000,US,0,US,M
2023,SE,FT,26,70000,USD,70000,US,0,US,M
2023,SE,FT,34,146000,USD,146000,US,0,US,M
2023,SE,FT,34,75000,USD,75000,US,0,US,M
2023,EN,FT,26,64200,USD,64200,US,100,US,M
2023,EN,FT,26,56100,USD,56100,US,100,US,M
2023,SE,FT,68,170000,USD,170000,US,0,US,M
2023,SE,FT,68,130000,USD,130000,US,0,US,M
2023,SE,FT,26,208450,USD,208450,US,100,US,M
2023,SE,FT,26,170550,USD,170550,US,100,US,M
2023,SE,FT,68,125000,USD,125000,US,0,US,M
2023,SE,FT,68,100000,USD,100000,US,0,US,M
2023,MI,FT,38,135000,USD,135000,US,0,US,M
2023,MI,FT,38,120000,USD,120000,US,0,US,M
2023,SE,FT,48,200000,USD,200000,US,100,US,M
2023,SE,FT,48,170000,USD,170000,US,100,US,M
2023,SE,FT,48,171250,USD,171250,IE,0,IE,M
2023,SE,FT,48,113750,USD,113750,IE,0,IE,M
2023,SE,FT,9,222200,USD,222200,US,0,US,L
2023,SE,FT,9,136000,USD,136000,US,0,US,L
2023,SE,FT,9,260000,USD,260000,US,0,US,L
2023,SE,FT,9,136000,USD,136000,US,0,US,L
2023,SE,FT,26,153600,USD,153600,US,0,US,M
2023,SE,FT,26,100500,USD,100500,US,0,US,M
2023,SE,FT,9,205000,USD,205000,US,100,US,M
2023,SE,FT,9,184000,USD,184000,US,100,US,M
2023,SE,FT,68,115000,USD,115000,CA,100,CA,M
2023,SE,FT,68,95000,USD,95000,CA,100,CA,M
2023,MI,FT,26,182500,USD,182500,US,0,US,M
2023,MI,FT,26,121500,USD,121500,US,0,US,M
2023,SE,FT,34,203100,USD,203100,US,0,US,M
2023,SE,FT,34,114500,USD,114500,US,0,US,M
2023,MI,FT,26,60000,GBP,72914,GB,0,GB,M
2023,MI,FT,26,45000,GBP,54685,GB,0,GB,M
2023,SE,FT,34,252000,USD,252000,US,0,US,M
2023,SE,FT,34,129000,USD,129000,US,0,US,M
2023,EN,FT,34,92700,USD,92700,US,100,US,M
2023,EN,FT,34,61800,USD,61800,US,100,US,M
2023,SE,FT,34,160000,USD,160000,US,100,US,M
2023,SE,FT,34,130000,USD,130000,US,100,US,M
2023,SE,FT,48,258000,USD,258000,CA,0,CA,M
2023,SE,FT,48,190000,USD,190000,CA,0,CA,M
2023,SE,FT,48,170000,USD,170000,US,0,US,M
2023,SE,FT,48,135000,USD,135000,US,0,US,M
2023,MI,FT,32,167500,USD,167500,US,0,US,M
2023,MI,FT,32,106500,USD,106500,US,0,US,M
2023,SE,FT,48,195000,USD,195000,US,0,US,M
2023,SE,FT,48,160000,USD,160000,US,0,US,M
2023,MI,FT,34,146000,USD,146000,US,0,US,M
2023,MI,FT,34,75000,USD,75000,US,0,US,M
2022,EN,FT,34,57000,EUR,59888,NL,100,NL,L
2023,EX,FT,34,286000,USD,286000,US,100,US,M
2023,EX,FT,34,207000,USD,207000,US,100,US,M
2023,SE,FT,26,100000,USD,100000,US,100,US,M
2023,SE,FT,26,80000,USD,80000,US,100,US,M
2023,SE,FT,34,223250,USD,223250,US,0,US,M
2023,SE,FT,34,178600,USD,178600,US,0,US,M
2023,EX,FT,54,353200,USD,353200,US,0,US,M
2023,EX,FT,54,249300,USD,249300,US,0,US,M
2023,MI,FT,73,230000,USD,230000,US,0,US,M
2023,MI,FT,73,220000,USD,220000,US,0,US,M
2023,SE,FT,48,297300,USD,297300,US,100,US,M
2023,SE,FT,48,198200,USD,198200,US,100,US,M
2023,MI,FT,90,210000,USD,210000,US,100,US,M
2023,MI,FT,90,151800,USD,151800,US,100,US,M
2023,SE,FT,48,200000,USD,200000,US,100,US,M
2023,SE,FT,48,170000,USD,170000,US,100,US,M
